Date,MBAU,Climate_Model,Population_Growth_Rate,Efficiency,Precipitation,Runoff,SW_In,SW_Out,SW_Diversions,SW_Returns,GW_Diversions,GW_Returns,Recharge,GW_In,SW_to_GW,GW_Out,ET_Land_Surface,ET_SW,ET_Human_Use,ET_GW,ET_Total,Cumulative_Storage_Change_Human_Use,Cumulative_Storage_Change_GW,Monthly_Storage_Change_Human_Use,Monthly_Storage_Change_GW,Ag_Land
Sep 2020,State,NCAR,Low,High,17889.42,249.39,60.21,198.99,319.49,302.78,97.57,20.6,244.23,0,-45.81,0,17395.82,139.73,143.46,95.93,17774.93,4423.51,-38617.21,-30.1799999999994,-32.6299999999974,Low
Oct 2020,State,NCAR,Low,High,9902.76,173.44,60.85,139.58,167.97,100.12,115.74,26.45,162.94,0,-56.33,0,9566.38,83.2,129.58,32.89,9812.06,4373.73,-38591.72,-49.7800000000007,25.4900000000052,Low
Nov 2020,State,NCAR,Low,High,8059.56,160.21,61.22,101.96,144.45,41.91,31.27,2.07,158.71,0,-55.64,0,7740.64,72.59,44.58,0.21,7858.04,4401.29,-38607.3,27.5600000000004,-15.580000000009,Low
Dec 2020,State,NCAR,Low,High,6839.69,147.18,51.55,143.03,123.11,84.33,31.14,2,143.13,0,-49.14,0,6549.37,66.06,40.89,0,6656.34,4488.43,-38533.64,87.1400000000003,73.6599999999962,Low
Jan 2021,State,NCAR,Low,High,5166.89,90.1,49.45,63.56,98.07,17.98,31.15,2.12,109.75,0,-47.99,0,4967.05,43.9,42.79,0,5053.73,4515.43,-38468.78,27,64.8600000000079,Low
Feb 2021,State,NCAR,Low,High,3206.04,48.99,53.3,94.67,51.87,44.84,31.16,2.25,59.58,0,-43.35,0,3097.47,43.94,47.77,0,3189.18,4581.73,-38436.02,66.2999999999993,32.7599999999948,Low
Mar 2021,State,NCAR,Low,High,2266.43,49.38,72.13,123.1,45.12,74.1,64.59,11.13,54.17,0,-46.7,0,2162.88,74.09,92.86,8.27,2338.1,4569.86,-38448.7,-11.869999999999,-12.679999999993,Low
Apr 2021,State,NCAR,Low,High,3642.22,143.71,165.06,119.52,202.88,72.38,163.08,40.95,73.01,0,-73.82,0,3425.5,132.57,191.36,60.3,3809.73,4501.47,-38502.96,-68.3900000000003,-54.2600000000093,Low
May 2021,State,NCAR,Low,High,2859.82,398.24,512.45,141.46,795.84,101.94,216.36,54.02,43.39,0,-160.87,0,2418.2,236.19,260.44,109.15,3023.98,4562.73,-38686.17,61.2599999999993,-183.209999999992,Low
Jun 2021,State,NCAR,Low,High,12416.64,328.12,595.94,400.74,500.97,103.93,164.74,39.14,168.1,0,-107.01,0,11920.42,233.31,247.95,147.51,12549.2,5158.53,-39075.14,595.800000000001,-388.970000000001,Low
Jul 2021,State,NCAR,Low,High,11637.26,271.49,281.36,296.45,296.8,205.32,205.19,51.74,175,0,-70.63,0,11190.76,235.58,290.73,153.41,11870.46,5433.22,-39287.19,274.689999999999,-212.050000000003,Low
Aug 2021,State,NCAR,Low,High,12145.68,258.93,125.7,268.64,289,309.8,229.1,58.7,206.48,0,-52.19,0,11680.3,188.99,282.95,134.51,12286.73,5387.39,-39489.65,-45.829999999999,-202.459999999992,Low
Sep 2021,State,NCAR,Low,High,2964.17,47.63,85.97,216.09,183.5,410.8,211.91,52.83,35.05,0,-7.52,0,2881.48,152.31,260.28,109.89,3403.93,5254.04,-39640.27,-133.35,-150.620000000003,Low
Oct 2021,State,NCAR,Low,High,5106.29,87.77,62.49,169.54,86.11,182.53,148.12,35.73,85.96,0,-23.89,0,4932.56,101.03,164.64,43.52,5241.76,4925.55,-39881.69,-328.49,-241.420000000006,Low
Nov 2021,State,NCAR,Low,High,4394.76,109.78,52.19,111.42,71,43.96,57.64,10.15,112.4,0,-41.19,0,4172.56,64.73,74.24,4.62,4316.14,4776.9,-39975.53,-148.65,-93.8399999999965,Low
Dec 2021,State,NCAR,Low,High,6604.7,121.91,49.9,200.96,32.37,84.67,31.27,2,119.9,0,-45.53,0,6362.93,68.65,43.78,0,6475.36,4777.18,-39956.45,0.279999999999745,19.0800000000017,Low
Jan 2022,State,NCAR,Low,High,8853.14,157.11,49.13,154.71,52.2,17.29,31.28,2.11,182.96,0,-48.86,0,8513.07,65.5,43.18,0,8621.74,4710.35,-39911.35,-66.8299999999999,45.0999999999985,Low
Feb 2022,State,NCAR,Low,High,6299.81,95.81,52.86,139.74,50.35,43.56,31.39,2.07,113.65,0,-49.26,0,6090.38,51.4,50.62,0.08,6192.48,4731.23,-39806.39,20.8799999999992,104.959999999999,Low
Mar 2022,State,NCAR,Low,High,1550.08,44.81,77.76,129.1,50.5,90.35,58.89,8.62,40.47,0,-36.9,0,1464.81,70.2,88.74,8.99,1632.75,4716.7,-39771.4,-14.5299999999997,34.989999999998,Low
Apr 2022,State,NCAR,Low,High,2067.31,188.23,169.99,142.8,172.35,51.39,175.67,44.02,64.98,0,-43.43,0,1814.11,137.89,194.73,31.19,2177.9,4638.38,-39827.07,-78.3199999999997,-55.6699999999983,Low
May 2022,State,NCAR,Low,High,13716.62,443.29,520.13,397.78,532.11,68.11,132.34,31.03,206.22,0,-118.32,0,13067.1,219.99,196.28,115.6,13598.98,4696.26,-39968.36,57.8799999999992,-141.290000000001,Low
